""	"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"1"	"regulation of transcription, DNA-templated (GO:0006355)"	"118 of 1598"	1.89302734480028e-14	5.09413658485755e-11	0	0	2.37786907510526	75.1359402886629	"ZNF572;ZNF174;SMARCB1;UBP1;ELK1;ARHGAP35;SPIB;ZXDA;RPS6KA5;MYC;ZXDC;EPC1;EP300;KAT7;EPC2;ZNF200;RBFOX2;SMARCC2;ZBTB38;HNF1A;ZNF16;PIAS1;RFX7;KAT6B;KAT6A;ATF7;NUPR1;ZNF674;ABCG1;ZNF28;KMT2D;ZNF670;SRCAP;EPAS1;CTR9;FOXO4;HTATSF1;GTF2E1;HIVEP1;HIVEP2;ABCA2;STAT5B;CREBBP;INSR;NFATC3;FOXN3;BTBD8;SMARCA2;ESR1;SP2;ZNF816;SP1;ZNF253;GMEB1;CDKN1B;LDB1;ZC3H4;KDM8;ZNF45;CHD1;SIN3A;SUFU;ZNF41;NUP62;UBTF;HMG20A;ERC1;GABPA;NCOA1;NCOA2;ZHX2;FOXD2;NCOA6;TCF12;ARNT;RGMB;ARID1A;ETV3;CBFA2T3;NR5A2;IRF2;CRY2;WAC;PRMT9;ZNF112;HDAC5;ZNF230;SMARCD2;KDM3B;CIPC;LRP5;ZNF2;TRAK1;CAMKK2;HIRA;POLR2A;BAHD1;SAP30L;ZNF624;PCBD2;ZNF223;RNF20;DAB2IP;FOXJ2;WWP1;ELP4;SSRP1;KLF4;YY1AP1;ZNF33B;GATAD2A;PER2;ZNF616;QRICH1;BCOR;ZNF611;KIAA1958;TAF4"
"2"	"regulation of transcription from RNA polymerase II promoter (GO:0006357)"	"96 of 1478"	7.25222700048213e-09	9.75787142914871e-06	0	0	2.009085191792	37.6541887616427	"GMEB1;ZNF174;SMARCB1;LDB1;TCF25;ZC3H4;UBP1;OTUD7B;PCSK6;ELK1;CHD1;ARHGAP35;SPIB;RPS6KA5;SIN3A;MYC;SUFU;EPC1;EP300;KAT7;EPC2;ZNF366;GABPA;NCOA1;KDM6B;NCOA2;ZHX2;FOXD2;SMARCC2;KDM2B;NCOA6;ZBTB38;TCF12;HSFX1;HNF1A;RGMB;ARID1A;ETV3;NR5A2;RFX7;IRF2;CRY2;MAML3;NUPR1;PRKN;KMT2D;HDAC5;SMARCD2;NFIX;SRCAP;ATF6B;MAX;EPAS1;ZBTB49;CTR9;DOT1L;LRP5;FOXO4;RTF1;HTATSF1;TRAK1;GTF2E1;HIRA;RXRA;LEO1;HIVEP1;SHOX;MEF2D;MAP2K5;BCL9L;ABCA2;STAT5B;SMAD1;CREBBP;NFATC3;DAB2IP;RITA1;FOXJ2;ELP4;KLF4;BTBD8;SMARCA2;ESR1;BMP6;GATAD2A;PER2;SP2;GDNF;SP1;NFIC;ASXL2;QRICH1;BCOR;KIAA1958;TAF4;MIXL1"
"3"	"regulation of cellular macromolecule biosynthetic process (GO:2000112)"	"52 of 631"	2.05012750737165e-08	1.83896437411237e-05	0	0	2.53391581157506	44.8573509936224	"ZNF253;ZNF572;LDB1;ZNF45;SMC3;RPS6KA5;SUFU;ZNF41;UBTF;EP300;HMG20A;KAT7;ERC1;ZNF200;NCOA2;ZBTB38;ZNF16;NR5A2;KAT6B;IRF2;ATF7;PRMT9;ABCG1;ZNF112;ZNF28;KMT2D;DDX6;ZNF230;ZNF670;KDM3B;CTR9;RBM4B;ZNF2;FOXO4;POLR2A;SAP30L;HIVEP1;ZNF624;HIVEP2;ZNF223;RNF20;CREBBP;INSR;SSRP1;SMARCA2;ESR1;YY1AP1;ZNF33B;ZNF816;SP1;ZNF616;ZNF611"
"3281"	"chromatin (GO:0000785)"	"32 of 296"	2.77541523917068e-08	7.24383377423547e-06	0	0	3.37565996716802	58.7360796059856	"SMARCD2;SMARCB1;KDM3B;LDB1;PPP1R10;MAX;CTR9;SMC3;HIRA;RXRA;SIN3A;MYC;BAHD1;MEF2D;GABPA;NCOA1;KDM6B;UPF1;CREBBP;SMARCC2;TCF12;ARID1A;KLF4;SMARCA2;ESR1;WAPL;MAU2;SP1;ASXL2;TAF5;TAF4;MIXL1"
"2692"	"peptide-lysine-N-acetyltransferase activity (GO:0061733)"	"11 of 39"	7.58409702678965e-08	3.944394226093e-05	0	0	10.74609375	176.178200731302	"NAA60;CREBBP;SRCAP;KAT6B;KAT6A;EP300;EPC1;EPC2;ELP4;TAF5;TAF5L"
"2693"	"histone acetyltransferase activity (GO:0004402)"	"11 of 41"	1.33935287813005e-07	3.944394226093e-05	0	0	10.0286458333333	158.712437157974	"NAA60;CREBBP;SRCAP;KAT6B;KAT6A;EP300;EPC1;EPC2;ELP4;TAF5;TAF5L"
"4"	"positive regulation of transcription, DNA-templated (GO:0045893)"	"74 of 1120"	2.37227210130035e-07	0.000134808297689434	0	0	2.01299654280626	30.7067474051875	"SMARCB1;LDB1;KDM8;ELK1;SPIB;ZXDA;RPS6KA5;SIN3A;MYC;ZXDC;NUP62;UBTF;EPC1;EP300;KAT7;GABPA;NCOA1;KDM6B;NCOA2;FOXD2;SMARCC2;NCOA6;ZBTB38;TCF12;ARNT;HNF1A;RGMB;ARID1A;PIAS1;NR5A2;KAT6B;KAT6A;IRF2;WAC;MAML3;PRKN;KMT2D;HDAC5;NFIX;ATF6B;EPAS1;ZBTB49;CTR9;DOT1L;LRP5;FOXO4;RTF1;CAMKK2;RXRA;LEO1;SHOX;PCBD2;MEF2D;MAP2K5;BCL9L;RNF20;STAT5B;SMAD1;CREBBP;NFATC3;DAB2IP;FOXJ2;FOXN3;KLF4;BTBD8;SMARCA2;ESR1;BMP6;GDNF;SP1;NFIC;ASXL2;TAF4;MIXL1"
"5"	"regulation of nucleic acid-templated transcription (GO:1903506)"	"48 of 607"	2.50479928817231e-07	0.000134808297689434	0	0	2.41073023416735	36.6428272531736	"ZNF28;ZNF253;ZNF572;KMT2D;ZNF230;ZNF670;KDM3B;LDB1;CTR9;ZNF2;ZNF45;FOXO4;RPS6KA5;POLR2A;SUFU;SAP30L;ZNF41;UBTF;HIVEP1;ZNF624;EP300;HMG20A;KAT7;ERC1;HIVEP2;ZNF223;ZNF200;RNF20;NCOA2;CREBBP;INSR;SSRP1;SMARCA2;ESR1;YY1AP1;ZNF16;ZNF33B;NR5A2;ZNF816;KAT6B;SP1;ZNF616;IRF2;ATF7;ZNF611;PRMT9;ABCG1;ZNF112"
"3282"	"BAF-type complex (GO:0090544)"	"7 of 17"	1.03044313364236e-06	0.000134472828940328	0	0	19.0572033898305	262.71348937405	"NCR1;SMARCD2;PBRM1;SMARCC2;SMARCB1;ARID1A;SMARCA2"
"6"	"histone monoubiquitination (GO:0010390)"	"8 of 24"	1.13491723015052e-06	0.000509010377722509	0	0	13.6272984441301	186.543418411039	"RNF20;DDB1;KDM2B;CTR9;WAC;LEO1;BCOR;RNF40"
