# LSV-Names	Median-Attributions	Corrected P-values (FDR <= 1%)
ENSG00000099810	0.0006389923893408782	2.3499362636763053e-214
ENSG00000151718	0.00036742578710713815	7.871698602100068e-212
ENSG00000203668	0.0002752174596952436	2.0417845613025585e-200
ENSG00000126970	0.0003619358160918636	2.9513886174208913e-196
ENSG00000125845	0.0001428686636529597	6.841456892997041e-174
ENSG00000136051	0.00037910610423011964	1.4749923925570498e-171
ENSG00000114450	0.00026179025830548564	6.815711142159773e-171
ENSG00000117215	-0.00017494486257215702	2.162258141447328e-167
ENSG00000091436	0.0001660755622663452	3.146129299949692e-166
ENSG00000074660	0.00014062950949466588	8.205121961552048e-165
ENSG00000172264	0.000375280944781054	1.2887150839607233e-161
ENSG00000188677	0.0003719940470643982	4.0484437947154426e-160
ENSG00000162604	0.0002556488141294461	1.0238975706868132e-159
ENSG00000170175	0.0002429158325435658	1.2125707812683566e-158
ENSG00000197102	0.0006948652858774233	6.437076640189783e-157
ENSG00000188641	0.0004350711770457365	6.577815544384709e-155
ENSG00000173706	-0.00011148897549789562	2.2813678049565522e-153
ENSG00000031081	-6.63287026908829e-05	3.6413916456342444e-153
ENSG00000243156	-0.0003594106086673849	7.757944536350665e-152
ENSG00000178163	0.0003845844692414424	3.312623142787689e-151
ENSG00000167548	-0.00025239348309123	3.3654580266108917e-150
ENSG00000159459	0.00017524415088527397	2.288977279576821e-149
ENSG00000155849	-0.0001938363847312645	3.3138747097129245e-149
ENSG00000176542	-0.00047505133307493866	4.840080616865034e-149
ENSG00000198646	-0.00033129707830825635	8.071337128860875e-149
ENSG00000139613	-0.0002553828637695068	4.293448482313853e-148
ENSG00000269113	0.00029513846347544944	6.277530570968813e-148
ENSG00000080603	-0.00032615625269668104	8.679521281772624e-146
ENSG00000170365	-0.00034079640889434447	1.0735895443188752e-145
ENSG00000147459	0.0005507978739142281	1.6122357503221876e-145
ENSG00000136630	0.0002159658094310148	2.3116898470864752e-144
ENSG00000158122	0.00016926826349069476	6.016993668478249e-143
ENSG00000173546	0.00017522315088754013	1.3901211796856716e-142
ENSG00000158352	4.858568850909512e-05	1.7468963598459202e-142
ENSG00000136631	0.0005936909159447471	4.1812282489149995e-142
ENSG00000024048	0.00029397634514473315	5.5636029793327396e-142
ENSG00000162599	0.0001859913911380419	7.945733421593e-142
ENSG00000143970	-0.0002330407696268969	1.3047537994001954e-141
ENSG00000180773	0.0004113136824556459	2.3408446085927994e-141
ENSG00000137177	-0.00036166912691997546	5.41490592562961e-141
ENSG00000137628	-0.00029574977246894893	4.412199698420781e-140
ENSG00000163702	0.00033874053889464194	5.915777896636214e-140
ENSG00000148516	-4.786706337625742e-06	9.752491431582834e-140
ENSG00000149716	0.0003879869737660212	2.2203791524039744e-139
ENSG00000112186	0.00019042367636832395	3.0078227285268538e-139
ENSG00000144668	0.00013565040420580123	1.093215156490198e-138
ENSG00000183826	0.00013948629843906608	1.6479726133028952e-138
ENSG00000130962	0.00020372756120930611	3.7154968697513763e-138
ENSG00000100697	0.0004145224483697457	6.773481636576065e-138
ENSG00000130052	9.626163549139775e-05	1.2977888018533109e-137
ENSG00000107282	-0.0002475549816225624	1.459377332387609e-137
ENSG00000067066	0.00029530976547062233	3.110417320319785e-137
ENSG00000171115	-0.00019459911947041408	7.289396671114901e-137
ENSG00000033327	-0.0003341860292299431	1.0675697856089253e-136
ENSG00000111729	0.00044688978833181965	1.133009450323536e-136
ENSG00000175287	8.837632274714292e-05	1.943791511414727e-136
ENSG00000144791	0.00020701276862854323	3.838254052562938e-136
ENSG00000182957	0.00021036989192629087	4.656745512187035e-136
ENSG00000163590	-0.00014061828039366785	1.509139264495294e-135
ENSG00000178694	-0.00022563876974008597	1.7954893637238487e-135
ENSG00000119231	0.0002579360946375362	5.042273119452644e-135
ENSG00000143344	0.00015063406426817858	7.823777507802602e-135
ENSG00000144815	-0.00018213549169735833	7.836814150260567e-135
ENSG00000105852	2.057570136708713e-05	1.6794095746601544e-134
ENSG00000138593	0.0002098062696161289	2.964221305477438e-134
ENSG00000103319	-0.0004909539753012525	3.627003909914076e-134
ENSG00000075568	-0.00032728374938936864	3.627003909914076e-134
ENSG00000116991	0.00011211265715293905	4.762822830393366e-134
ENSG00000080819	-0.00022976033386412485	1.2915039764174177e-133
ENSG00000140396	-0.00020005021473697444	2.095140993472845e-133
ENSG00000182636	0.00024745790090437825	1.1647583644535433e-132
ENSG00000135314	-0.00023469809295439346	1.5057601911130125e-132
ENSG00000136104	0.0005188101832044235	3.680685558588797e-132
ENSG00000070961	-0.0004543950384745649	6.237991074988867e-132
ENSG00000099308	-0.0004840567284108749	7.408236917151885e-132
ENSG00000129566	4.0850538592591394e-05	1.5457143930094574e-131
ENSG00000188385	6.311074827391379e-05	2.905551405159575e-131
ENSG00000178996	0.00012580142882997068	4.1277805448602896e-131
ENSG00000102393	0.00028317005270315755	4.802960471970041e-131
ENSG00000126790	0.00046053420446112324	5.162197823287059e-131
ENSG00000169900	-0.0002481718436491353	5.554799168752259e-131
ENSG00000136144	0.00038235785540427763	9.159046624903205e-131
ENSG00000054282	0.0003881952907173972	1.7355975999466852e-130
ENSG00000113594	0.00016313919203947685	1.520093467334207e-129
ENSG00000163704	-0.00017963412733403283	3.1022850845337156e-129
ENSG00000065833	9.619154864975661e-05	6.447455905345993e-129
ENSG00000187733	-8.54181311611322e-05	1.9402869628560016e-128
ENSG00000149557	3.737536788966309e-05	3.322146219684007e-128
ENSG00000187824	0.0001502752817850334	5.716411539248715e-128
ENSG00000188906	0.0006067834971247358	8.811755514368152e-128
ENSG00000178700	-0.00039665321170274074	9.876155022141873e-128
ENSG00000166398	-0.00025323500621566035	1.1114609989446892e-127
ENSG00000119042	0.0003097666167351232	1.1436472240474347e-127
ENSG00000107249	0.00038037570145328734	1.4429207902034804e-127
ENSG00000107862	-0.0005400862521600968	1.4429207902034804e-127
ENSG00000140836	7.927657940671974e-05	1.5585412963690209e-127
ENSG00000131725	0.0001137195366667674	2.7902346561202678e-127
ENSG00000139631	0.0006151467387183388	6.88904200424812e-127
ENSG00000112531	0.0001583255079750026	8.577769455309635e-127
ENSG00000104756	0.0003841186882118066	1.111703382360966e-126
ENSG00000005339	-0.00038467850386741985	1.1514935081516406e-126
ENSG00000143776	0.0002326126910455335	1.8978466204850795e-126
ENSG00000177873	-0.0003143951461904888	1.01910839035616e-125
ENSG00000138646	0.00019705512616615734	2.7997496246203665e-125
ENSG00000114062	-0.00022630792921099038	4.2924799612437376e-125
ENSG00000165868	0.00031107761890864687	7.233003160037991e-125
ENSG00000038382	0.0003558630741532534	1.936180932913281e-124
ENSG00000085982	0.00048222113288626386	2.078541667875459e-124
ENSG00000128585	0.00018768357018714087	2.550609437732135e-124
ENSG00000142207	0.00011605037343987125	2.6167017747721898e-124
ENSG00000156650	-0.0005256669941874934	4.6605400780293314e-124
ENSG00000120162	-0.00018195675901347687	7.103290310666839e-124
ENSG00000100599	0.00017110382282838584	1.567974480094627e-123
ENSG00000175104	0.00011541750549944945	1.6930590531606622e-123
ENSG00000153208	0.0002207033345658416	1.780471281107599e-123
ENSG00000170445	0.0006507674544571918	1.981247568400789e-123
ENSG00000067208	0.00023178165904211973	4.1961564124411476e-123
ENSG00000036549	0.00030914527643633306	8.194971231428054e-123
ENSG00000135636	6.275394648945342e-05	1.5845738163264756e-122
ENSG00000175544	0.00022974803616216706	2.6462321204884885e-122
ENSG00000143458	-0.0003009892177265679	3.4419285793401457e-122
ENSG00000137962	0.0002352540639449932	4.832431155535589e-122
ENSG00000196218	-9.419135170738183e-05	9.570349523088634e-122
ENSG00000101096	-0.00012448082708675954	1.3390319563687829e-121
ENSG00000145431	0.00032450820124856907	1.8052993346734062e-121
ENSG00000119865	0.0001294236438799852	2.024931467088519e-121
ENSG00000101695	-0.0003130574944596958	2.081006396760049e-121
ENSG00000146477	0.0002787886525125838	2.2771997266958706e-121
ENSG00000165633	8.440611645966571e-05	3.7628449254459124e-121
ENSG00000100350	-0.00018955962730583513	5.252907463319024e-121
ENSG00000169291	-1.2237665609452856e-05	8.125538037304788e-121
ENSG00000128573	0.00013037418087561567	1.3906789718172844e-120
ENSG00000120693	6.986216956948233e-05	1.492948455666995e-120
ENSG00000113319	-3.74399655858425e-05	1.9088012113014867e-120
ENSG00000169122	3.585034056311062e-05	4.2510712017008825e-120
ENSG00000073712	0.0002806482325607469	4.671365936488954e-120
ENSG00000006607	-0.00028930011318523894	5.304220884353634e-120
ENSG00000105339	0.0004147377942875556	5.695423974176902e-120
ENSG00000071189	0.00012854091996369635	6.675145854846904e-120
ENSG00000174600	-0.00013370346917727417	1.382270236583991e-119
ENSG00000141384	-0.00010979053888332672	1.886086109395729e-119
ENSG00000120253	0.000279615481132253	2.4290886089078884e-119
ENSG00000185920	-7.32421316117595e-05	2.892755200687938e-119
ENSG00000133121	0.0003040390953573708	3.270457033359637e-119
ENSG00000162409	0.00026232642516848474	4.598603119392132e-119
ENSG00000114698	0.00016301425299229395	7.564276436513635e-119
ENSG00000205269	0.00027190729755876224	8.153765525866157e-119
ENSG00000164741	0.00013897758278501803	9.261874392140405e-119
ENSG00000130830	0.00014818429736022272	1.235241205528144e-118
ENSG00000104154	-0.0003462200792679952	1.3549549675379568e-118
ENSG00000196935	-0.0002145708623520422	1.4778455503903928e-118
ENSG00000105971	0.00032138238889052004	1.8654493045015417e-118
ENSG00000109790	4.456535879524033e-05	1.8739004330061226e-118
