# Gene-Names	Median-Attributions	Corrected P-values (FDR <= 1%)
ENSG00000133818	0.0004698290598512288	7.028260017257676e-223
ENSG00000001631	0.0003982698809606776	4.894740590128421e-176
ENSG00000135164	0.0004861415709491728	7.2746343809601e-161
ENSG00000197102	0.0005770786097413306	1.215963275252516e-154
ENSG00000123104	0.00035417825519357257	1.453762159893253e-154
ENSG00000137710	0.000750098010402998	1.0125001484158017e-151
ENSG00000198625	0.0005359835294563961	8.345809983655528e-150
ENSG00000244754	0.0005244736202819508	8.386874205274533e-150
ENSG00000170445	0.0009698371145614719	1.0062407290742574e-149
ENSG00000198363	0.00031294938462354734	4.954426213139764e-147
ENSG00000061987	0.0001358255714949798	1.9361021959090872e-145
ENSG00000148399	0.0007408944084557473	2.2561500825613642e-145
ENSG00000111817	0.0006368772173617208	2.3202314852409388e-141
ENSG00000182247	0.000610723849539281	4.7556605042697833e-141
ENSG00000056558	0.0003954765740315754	3.1179834151080597e-140
ENSG00000107249	0.0004122969146952482	3.9047334759145496e-140
ENSG00000188906	0.0005984686524686773	1.623633719258399e-139
ENSG00000075826	0.0004540909637975873	8.536803618596893e-139
ENSG00000188641	0.0004405125571471405	6.886101695265896e-135
ENSG00000105339	0.00039121534034421726	2.9206240434579786e-130
ENSG00000129197	0.0007073870340229629	1.9326058924801046e-127
ENSG00000101391	0.0005236845680757795	9.76819332630539e-127
ENSG00000244165	0.0005197446318041269	2.500500871436635e-126
ENSG00000108599	0.00033986899736393374	3.6992849385756074e-126
ENSG00000082258	0.0003279949399468207	4.746447399253216e-123
ENSG00000134245	0.0006358859061406717	1.0347831540742647e-121
ENSG00000085662	0.00021419114222385915	1.259453580946071e-121
ENSG00000185585	-0.00021576035404938227	1.7410287771964928e-121
ENSG00000160219	0.00030719297432143226	1.7215961787285278e-119
ENSG00000100767	0.0003618095057299026	3.734441982140966e-119
ENSG00000183032	-0.0004337884306411278	1.9251927511158482e-118
ENSG00000167548	-0.0002582420701673738	2.150471507442879e-117
ENSG00000102710	0.00030899636348949173	3.487079668172029e-117
ENSG00000119321	0.00017992003350730205	1.3038865045690876e-116
ENSG00000163625	0.00028905339645654365	1.8232120929611774e-116
ENSG00000099949	0.0009754572753076706	2.056280187913026e-116
ENSG00000007392	0.0005645850364339154	2.1204835314377524e-116
ENSG00000256229	0.0002731895393817153	5.823754782330346e-113
ENSG00000076344	0.00023616772184897547	1.8359066492209626e-112
ENSG00000119899	-0.000388562896976478	3.153203901962281e-112
ENSG00000102893	0.0002493297118235022	1.664524528831534e-111
ENSG00000139117	0.0005073601506537949	9.798423583667598e-111
ENSG00000156968	0.0004052758928464775	1.3676070613194005e-110
ENSG00000129657	-0.00023286807477367367	4.416534081002018e-110
ENSG00000010295	0.0003583359359424881	2.221096711067603e-109
ENSG00000031081	-2.9624505371789728e-05	9.443692330795335e-109
ENSG00000126970	0.0004717189825204727	2.1201423969018198e-108
ENSG00000232653	0.0003658654895048507	3.1304098880454986e-108
ENSG00000158406	0.00033361802697828104	3.607031725900438e-106
ENSG00000114933	0.0005553748057095046	3.804307679527121e-106
ENSG00000139263	0.00020356394550279076	5.391021920607183e-106
ENSG00000125741	-0.0002877784170244157	8.784816971269193e-105
ENSG00000064225	0.00045276001689968035	1.1740690046032889e-104
ENSG00000156650	-0.0004615356912408855	1.9863972075601224e-104
ENSG00000151718	0.00038730217161537297	5.5755481270738005e-104
ENSG00000126790	0.0003632602891160871	5.641970816574754e-104
ENSG00000175104	0.00036537514020079073	5.78333056327022e-104
ENSG00000038382	0.0004240215620203359	1.4642179666305098e-103
ENSG00000145246	0.0004947427289987254	2.183146090065792e-103
ENSG00000148634	0.0005674957610419621	2.423547382274165e-103
ENSG00000178338	0.0003784803905407178	2.572418068678323e-103
ENSG00000269190	0.0003079369271846293	3.8641096446250113e-103
ENSG00000115760	-0.00022977067872515945	7.1245210486443e-103
ENSG00000133121	0.0004244829840990544	7.964754822852567e-103
ENSG00000266714	0.0004387413358278558	1.030696033451227e-102
