RDM1;gene:ENSG00000278023:s:35922155-35922675
CFAP43;gene:ENSG00000197748:s:104207665-104207824
HAPLN3;gene:ENSG00000140511:s:88887175-88887345
USP53;gene:ENSG00000145390:s:119256246-119256359
DPY19L1;gene:ENSG00000173852:s:35017882-35017969
FAM76A;gene:ENSG00000009780:t:27734031-27734183
DOCK6;gene:ENSG00000130158:t:11253639-11254048
PAPPA;gene:ENSG00000182752:s:116367645-116367754
ACSS3;gene:ENSG00000111058:s:81253307-81253406
CLCN4;gene:ENSG00000073464:t:10185022-10185176
CD109;gene:ENSG00000156535:t:73756643-73756682
PLAT;gene:ENSG00000104368:t:42180490-42180764
CDK5RAP2;gene:ENSG00000136861:t:120571747-120572041
BRWD1;gene:ENSG00000185658:s:39250796-39250889
RUFY3;gene:ENSG00000018189:t:70778369-70778438
CEP85L;gene:ENSG00000111860:s:118470537-118470644
FRMPD2B;gene:ENSG00000150175:s:46883184-46883282
NEB;gene:ENSG00000183091:t:151563606-151563719
AUTS2;gene:ENSG00000158321:s:70774787-70775386
ATL3;gene:ENSG00000184743:s:63671636-63671921
DLGAP2;gene:ENSG00000198010:s:1668329-1668678
LIMCH1;gene:ENSG00000064042:s:41494536-41494606
PRPF39;gene:ENSG00000185246:s:45084099-45084249
CREBBP;gene:ENSG00000005339:s:3777259-3777657
CCDC42;gene:ENSG00000161973:s:8744322-8744787
HELZ2;gene:ENSG00000130589:s:63570056-63570611
TMC5;gene:ENSG00000103534:s:19477358-19477518
DHTKD1;gene:ENSG00000181192:s:12068972-12069187
CCL23;gene:ENSG00000274736:s:36017822-36017968
AL021396.1;gene:ENSG00000229766:t:8027661-8027956
COL4A4;gene:ENSG00000081052:t:227060136-227060243
FAM126A;gene:ENSG00000122591:t:22961235-22961322
PLAC9P1;gene:ENSG00000214100:s:129923558-129923809
PCBP3;gene:ENSG00000183570:s:45900591-45900623
KNDC1;gene:ENSG00000171798:s:133189752-133189813
CARMIL3;gene:ENSG00000186648:s:24059270-24059442
ZKSCAN1;gene:ENSG00000106261:t:100030249-100030375
PLG;gene:ENSG00000122194:t:160718294-160718456
ITFG2;gene:ENSG00000111203:s:2858012-2858331
DNAH12;gene:ENSG00000174844:s:57309151-57309254
RPGRIP1;gene:ENSG00000092200:t:21320017-21320177
ITIH3;gene:ENSG00000162267:t:52800386-52800663
TPTE2;gene:ENSG00000132958:s:19432473-19432578
KIAA1109;gene:ENSG00000138688:t:122274343-122274440
MYO18B;gene:ENSG00000133454:s:25898307-25898461
CACNA1S;gene:ENSG00000081248:t:201089258-201089463
ARHGEF15;gene:ENSG00000198844:t:8313501-8313657
METTL25;gene:ENSG00000127720:s:82386803-82386972
DIP2C;gene:ENSG00000151240:s:389634-390093
NCOR1;gene:ENSG00000141027:t:16091564-16092058
ARID3A;gene:ENSG00000116017:s:929262-929896
