# LSV-Names	Median-Attributions	Corrected P-values (FDR <= 1%)
gene:ENSG00000176853:s:123799520-123799654	-0.002819939113026069	3.8836245641701343e-305
gene:ENSG00000154001:s:63389612-63389731	-0.002929691049319204	3.8836245641701343e-305
gene:ENSG00000131876:s:101285726-101285832	-0.0008842311926938705	3.8836245641701343e-305
gene:ENSG00000159579:t:57238879-57240475	0.0005163627778468855	3.8836245641701343e-305
gene:ENSG00000146223:s:42884613-42884750	-0.0007953096093178206	3.8836245641701343e-305
gene:ENSG00000136485:s:63585211-63585328	0.00041533249343676424	3.8836245641701343e-305
gene:ENSG00000172340:s:67508807-67508903	-0.0012599565624617426	3.8836245641701343e-305
gene:ENSG00000175376:s:65999567-65999675	0.00039590527831293894	3.8836245641701343e-305
gene:ENSG00000062485:s:56283792-56283894	0.0027498510803911505	3.8836245641701343e-305
gene:ENSG00000105364:s:10252551-10253029	0.0003863264708859336	3.8836245641701343e-305
gene:ENSG00000125944:t:23337754-23337861	0.003988342532491989	3.8836245641701343e-305
gene:ENSG00000165637:t:75212230-75212298	-0.0017570465252893831	3.8836245641701343e-305
gene:ENSG00000187778:s:49564737-49564895	0.0003627360765502328	3.8836245641701343e-305
gene:ENSG00000253125:s:na-22698833	0.0	3.8836245641701343e-305
gene:ENSG00000134748:t:52411115-52411200	0.0003642106029648057	3.8836245641701343e-305
gene:ENSG00000253125:t:22701218-22701440	0.0	3.8836245641701343e-305
gene:ENSG00000114054:s:136328687-136328857	0.0003995703128239178	3.8836245641701343e-305
gene:ENSG00000106615:t:151470299-151470652	3.142873916485322e-05	3.8836245641701343e-305
gene:ENSG00000130741:t:24067964-24068108	2.1282028392287924e-05	3.8836245641701343e-305
gene:ENSG00000261796:t:129087575-129091346	-0.0015662260072720306	3.8836245641701343e-305
gene:ENSG00000180370:t:196803017-196803164	0.0017197847245260592	3.8836245641701343e-305
gene:ENSG00000149091:s:46374766-46374839	-0.006815865895590918	3.8836245641701343e-305
gene:ENSG00000163655:s:155934916-155935046	3.1542246560162875e-05	3.8836245641701343e-305
gene:ENSG00000125995:s:35699272-35699451	0.0004263835286146704	3.90397042607377e-301
gene:ENSG00000005194:s:57431151-57431310	0.0003283032687075159	1.3661885722930848e-297
gene:ENSG00000169612:t:82989881-82991057	3.2936930879018824e-05	3.1925010927522615e-291
gene:ENSG00000110104:t:60849940-60850014	0.0004088161464884756	1.2789190137748739e-290
gene:ENSG00000116670:s:11680562-11680613	0.0003227243044882353	1.8806148516442412e-289
gene:ENSG00000119203:t:9455659-9455757	0.00038200252583225414	6.981682936383618e-289
gene:ENSG00000176853:t:123799520-123799654	-0.002242938151302765	6.646580643541995e-286
gene:ENSG00000101146:s:57366802-57366893	0.00033258580294923807	3.844562475604603e-277
gene:ENSG00000197345:t:68900535-68900605	0.00047227129286344814	3.4694852433668765e-271
gene:ENSG00000139146:s:31293805-31293931	0.002668752159469751	1.211790368995582e-270
gene:ENSG00000197713:t:210016507-210016986	-0.000912695343354701	3.0878302714339535e-268
gene:ENSG00000126522:t:66082880-66082939	0.000327822921396134	1.1723103173714587e-266
gene:ENSG00000170242:s:11947945-11948244	0.0004832274908663447	2.6729126899648566e-266
gene:ENSG00000110536:s:47565430-47565796	0.0003561706524151207	1.6700511667784456e-264
gene:ENSG00000104957:s:13751608-13751811	0.00044740524902733673	1.267073808855925e-263
gene:ENSG00000136045:s:107703378-107703746	0.0003130154651314884	2.809085041605973e-262
gene:ENSG00000149269:s:77349239-77349765	0.0004137452091609624	4.693466314859429e-262
gene:ENSG00000139842:s:113244223-113244514	0.00041415695342707226	1.8023696087376e-260
gene:ENSG00000161981:t:57086-57669	0.0002863248867339807	4.277173015655634e-260
gene:ENSG00000282278:t:53425872-53425970	0.00047290042364484983	1.1374362558610685e-259
