DGKZ;gene:ENSG00000149091:s:46374766-46374839
HNRNPR;gene:ENSG00000125944:t:23337754-23337861
PHKA1;gene:ENSG00000067177:s:72705198-72705245
CENPC;gene:ENSG00000145241:s:67544149-67544195
GK;gene:ENSG00000198814:s:30691103-30691199
UHRF1;gene:ENSG00000276043:s:4947105-4947211
GABPA;gene:ENSG00000154727:s:25745210-25745354
PPP2R5E;gene:ENSG00000154001:s:63389612-63389731
FAM91A1;gene:ENSG00000176853:s:123799520-123799654
ZDHHC11;gene:ENSG00000188818:t:795915-795936
CS;gene:ENSG00000062485:s:56283792-56283894
SINHCAF;gene:ENSG00000139146:s:31293805-31293931
RHOT1;gene:ENSG00000126858:s:32175962-32176015
AHCTF1;gene:ENSG00000153207:s:246898208-246898336
FAM91A1;gene:ENSG00000176853:t:123799520-123799654
UBQLN4;gene:ENSG00000160803:t:156043998-156044223
HAUS6;gene:ENSG00000147874:t:19063514-19063580
PBX2;gene:ENSG00000204304:s:32186813-32186901
VDAC2;gene:ENSG00000165637:t:75212230-75212298
FAM8A1;gene:ENSG00000137414:s:17604906-17605029
PAK2;gene:ENSG00000180370:t:196803017-196803164
TYRO3;gene:ENSG00000092445:s:41570604-41570699
ISY1-RAB43;gene:ENSG00000261796:t:129087575-129091346
CSNK2A1;gene:ENSG00000101266:s:487427-487582
SPTLC1;gene:ENSG00000090054:t:92112455-92112562
FAM8A1;gene:ENSG00000137414:t:17602590-17602710
AC092718.8;gene:ENSG00000284512:t:81090601-81090680
SUCLG2;gene:ENSG00000172340:s:67508807-67508903
MTRF1L;gene:ENSG00000112031:s:152994513-152994808
CDC27;gene:ENSG00000004897:s:47158206-47158303
RPE;gene:ENSG00000197713:t:210016507-210016986
KATNBL1;gene:ENSG00000134152:s:34147200-34147214
CDCA2;gene:ENSG00000184661:t:25469763-25469980
SNRPA1;gene:ENSG00000131876:s:101285726-101285832
FAM91A1;gene:ENSG00000176853:s:123799772-123799885
HAUS6;gene:ENSG00000147874:t:19080479-19080672
ITSN1;gene:ENSG00000205726:s:33829624-33829745
RPL7L1;gene:ENSG00000146223:s:42884613-42884750
PTTG1;gene:ENSG00000164611:t:160424237-160424777
GMDS;gene:ENSG00000112699:s:1960774-1961321
STRADB;gene:ENSG00000082146:t:201458784-201458864
FAM133B;gene:ENSG00000234545:s:92569542-92569915
SSBP3;gene:ENSG00000157216:t:54227134-54227160
RSPRY1;gene:ENSG00000159579:t:57238879-57240475
CENPC;gene:ENSG00000145241:t:67530815-67530914
CCDC167;gene:ENSG00000198937:s:37485100-37485206
MGRN1;gene:ENSG00000102858:s:4682823-4682946
CAST;gene:ENSG00000153113:s:96747345-96747399
RRN3P2;gene:ENSG00000103472:t:29099105-29099213
VARS;gene:ENSG00000204394:t:31782721-31782845
SUDS3;gene:ENSG00000111707:s:118401759-118401820
SF3A3;gene:ENSG00000183431:s:37978988-37979199
USP47;gene:ENSG00000170242:s:11947945-11948244
CSNK2A2;gene:ENSG00000070770:s:58165560-58165708
MAPK9;gene:ENSG00000050748:t:180246028-180247510
PPID;gene:ENSG00000171497:s:158709942-158710670
SIPA1L1;gene:ENSG00000197555:s:71724603-71724835
TPX2;gene:ENSG00000088325:t:31778813-31778984
MCMBP;gene:ENSG00000197771:s:119847613-119847713
AC058822.1;gene:ENSG00000282278:t:53425872-53425970
DHPS;gene:ENSG00000095059:s:12681560-12681724
MRPL21;gene:ENSG00000197345:t:68900535-68900605
HDGFL2;gene:ENSG00000167674:t:4491764-4491840
RRAS;gene:ENSG00000126458:t:49635734-49635852
PICK1;gene:ENSG00000100151:s:38070835-38070891
MTA3;gene:ENSG00000057935:s:42707506-42708059
AC004754.1;gene:ENSG00000269881:s:259969-260275
CAMK2N1;gene:ENSG00000162545:t:20482391-20483719
UBE2Q2;gene:ENSG00000140367:s:75890919-75891014
FAM193B;gene:ENSG00000146067:s:177524185-177524500
TNFSF12;gene:ENSG00000239697:t:7550799-7550852
PACS1;gene:ENSG00000175115:t:66235301-66235698
ACLY;gene:ENSG00000131473:s:41901696-41901837
NUFIP1;gene:ENSG00000083635:s:44949722-44949838
CCDC130;gene:ENSG00000104957:s:13751608-13751811
PROSER1;gene:ENSG00000120685:t:39011376-39011487
POP4;gene:ENSG00000105171:s:29611375-29611939
PLBD2;gene:ENSG00000151176:s:113384851-113384946
PHF21A;gene:ENSG00000135365:s:45938157-45938312
BCLAF1;gene:ENSG00000029363:s:136277865-136278776
JUP;gene:ENSG00000173801:s:41769414-41769677
SRPRB;gene:ENSG00000144867:s:133805296-133806002
ARL8A;gene:ENSG00000143862:s:202138368-202138448
IPO13;gene:ENSG00000117408:t:43967586-43968022
TIMM23;gene:ENSG00000265354:s:45985358-45985441
HDGFL2;gene:ENSG00000167674:s:4491566-4491682
TRAP1;gene:ENSG00000126602:t:3685996-3686136
SBNO2;gene:ENSG00000064932:s:1117323-1117499
SLC20A1;gene:ENSG00000144136:s:112661142-112661580
PRKCI;gene:ENSG00000163558:s:170281610-170281968
PRXL2A;gene:ENSG00000122378:t:80422417-80422589
SLC30A5;gene:ENSG00000145740:s:69123199-69123539
ROMO1;gene:ENSG00000125995:s:35699272-35699451
SURF4;gene:ENSG00000148248:t:133364840-133365026
DHX30;gene:ENSG00000132153:s:47848880-47849079
P2RX4;gene:ENSG00000135124:t:121233523-121233547
WDR3;gene:ENSG00000065183:s:117954580-117954627
TMX4;gene:ENSG00000125827:s:8001496-8001541
NIPSNAP1;gene:ENSG00000184117:t:29560677-29560828
CEP131;gene:ENSG00000141577:t:81189593-81189843
REPS1;gene:ENSG00000135597:t:138907372-138907600
CUL1;gene:ENSG00000055130:s:148783971-148784380
NCAPG;gene:ENSG00000109805:s:17839676-17839842
MCMBP;gene:ENSG00000197771:t:119842782-119843426
COPG1;gene:ENSG00000181789:s:129260619-129260807
LAMP2;gene:ENSG00000005893:s:120447835-120448053
DCAF7;gene:ENSG00000136485:s:63585211-63585328
ANKS3;gene:ENSG00000168096:s:4698143-4698627
CUL4A;gene:ENSG00000139842:s:113244223-113244514
OGDH;gene:ENSG00000105953:s:44694424-44694576
CTTN;gene:ENSG00000085733:s:70407298-70407384
PAK1;gene:ENSG00000149269:s:77349239-77349765
ZCRB1;gene:ENSG00000139168:s:42317787-42317905
IK;gene:ENSG00000113141:s:140655829-140655992
ARHGAP1;gene:ENSG00000175220:t:46681664-46682182
CCDC86;gene:ENSG00000110104:t:60849940-60850014
AC006064.6;gene:ENSG00000285238:s:6561664-6561804
SF3B1;gene:ENSG00000115524:s:197402948-197403059
SAFB;gene:ENSG00000160633:s:5664022-5664159
TMEM87A;gene:ENSG00000103978:s:42227615-42227769
SPCS3;gene:ENSG00000129128:t:176326956-176327381
CREB3L4;gene:ENSG00000143578:s:153973195-153973263
INTS3;gene:ENSG00000143624:s:153766475-153767827
RPP30;gene:ENSG00000148688:s:90874858-90874924
CTNNBL1;gene:ENSG00000132792:s:37777653-37777712
PCCB;gene:ENSG00000114054:s:136328687-136328857
DIAPH1;gene:ENSG00000131504:s:141529603-141530056
PRMT5;gene:ENSG00000100462:s:22922742-22922910
WDR12;gene:ENSG00000138442:s:202883473-202883741
NUP93;gene:ENSG00000102900:s:56832295-56832388
NEPRO;gene:ENSG00000163608:s:113011045-113011165
SNX2;gene:ENSG00000205302:t:122829598-122830108
EIF1AD;gene:ENSG00000175376:s:65999567-65999675
WDR41;gene:ENSG00000164253:s:77451291-77452913
THOC6;gene:ENSG00000131652:s:3025708-3025823
HNRNPR;gene:ENSG00000125944:s:23318316-23318703
TMEM243;gene:ENSG00000135185:s:87198228-87199613
SMU1;gene:ENSG00000122692:s:33068824-33068934
SF3A3;gene:ENSG00000183431:s:37980586-37980789
SEPHS1;gene:ENSG00000086475:s:13329698-13329788
NCAPD2;gene:ENSG00000010292:s:6529260-6529593
PFKM;gene:ENSG00000152556:s:48145210-48145319
ABHD16A;gene:ENSG00000204427:s:31687773-31687923
LMAN2;gene:ENSG00000169223:s:177337363-177337524
SLC27A4;gene:ENSG00000167114:s:128352638-128352747
TFIP11;gene:ENSG00000100109:s:26499104-26499391
IGF2R;gene:ENSG00000197081:t:160103746-160103815
WDR12;gene:ENSG00000138442:s:202884395-202884535
CREB3;gene:ENSG00000107175:s:35733215-35733282
MRPL4;gene:ENSG00000105364:s:10252551-10253029
RMND1;gene:ENSG00000155906:s:151422541-151422605
NCSTN;gene:ENSG00000162736:s:160355842-160355958
MYBBP1A;gene:ENSG00000132382:s:4545610-4545761
CUX1;gene:ENSG00000257923:s:102111698-102112010
DDX49;gene:ENSG00000105671:s:18922322-18922513
PJA2;gene:ENSG00000198961:s:109344705-109344819
PAICS;gene:ENSG00000128050:s:56446695-56446873
PIP4P1;gene:ENSG00000165782:t:20459206-20459296
CPSF3;gene:ENSG00000119203:t:9455659-9455757
MAN1B1;gene:ENSG00000177239:s:137101005-137101153
PYURF;gene:ENSG00000145337:t:88520985-88522029
GLE1;gene:ENSG00000119392:s:128539616-128539877
CHERP;gene:ENSG00000085872:t:16520723-16520912
MCOLN1;gene:ENSG00000090674:s:7528821-7528970
SBNO2;gene:ENSG00000064932:s:1109292-1109423
KDM6B;gene:ENSG00000132510:t:7853210-7853380
C4orf3;gene:ENSG00000164096:t:119296419-119298779
MICAL1;gene:ENSG00000135596:s:109445416-109445529
COPA;gene:ENSG00000122218:t:160293166-160293234
BZW2;gene:ENSG00000136261:s:16665437-16665501
CENPA;gene:ENSG00000115163:s:26793145-26793370
HDAC1;gene:ENSG00000116478:s:32331646-32331946
OPA1;gene:ENSG00000198836:t:193662822-193662962
ZC3H7A;gene:ENSG00000122299:s:11756237-11756404
NAT10;gene:ENSG00000135372:s:34138872-34139287
TIAL1;gene:ENSG00000151923:s:119582459-119582608
SPTBN1;gene:ENSG00000115306:s:54617608-54617688
KHSRP;gene:ENSG00000088247:s:6417981-6418089
CYHR1;gene:ENSG00000187954:s:144451120-144452570
MOB4;gene:ENSG00000115540:s:197540351-197540437
SNRNP200;gene:ENSG00000144028:s:96297363-96297536
NDUFS2;gene:ENSG00000158864:t:161213864-161214053
CTPS2;gene:ENSG00000047230:s:16691540-16691868
GPI;gene:ENSG00000105220:t:34366345-34366690
CDCA3;gene:ENSG00000111665:s:6849322-6849434
ARMC1;gene:ENSG00000104442:s:65627216-65627433
TBRG4;gene:ENSG00000136270:s:45101171-45101372
PRRC2A;gene:ENSG00000204469:s:31635930-31636049
GLUD1;gene:ENSG00000148672:s:87060161-87060380
MTX1;gene:ENSG00000173171:s:155210346-155210435
FAF2;gene:ENSG00000113194:s:176496389-176496986
PRPF38A;gene:ENSG00000134748:t:52411115-52411200
P4HA2;gene:ENSG00000072682:s:132198321-132198440
MRPL30;gene:ENSG00000185414:s:99195116-99195189
LRP5;gene:ENSG00000162337:t:68357650-68357847
DCAF6;gene:ENSG00000143164:s:168066377-168066465
AC023055.1;gene:ENSG00000257390:s:55794359-55794387
EPB41L1;gene:ENSG00000088367:s:36221864-36221944
MCRS1;gene:ENSG00000187778:s:49564737-49564895
GMPS;gene:ENSG00000163655:s:155916011-155916192
WIPI2;gene:ENSG00000157954:t:5229408-5229765
NUTM2A-AS1;gene:ENSG00000223482:t:87336776-87336889
TTLL12;gene:ENSG00000100304:s:43168774-43168928
RTCA;gene:ENSG00000137996:t:100274824-100274969
BUD23;gene:ENSG00000071462:t:73693329-73693551
AC010422.8;gene:ENSG00000285589:t:12680150-12680325
CPSF1;gene:ENSG00000071894:s:144397487-144397690
DKC1;gene:ENSG00000130826:s:154765364-154765530
NFYC;gene:ENSG00000066136:s:40749573-40749686
COPA;gene:ENSG00000122218:s:160293386-160293783
EFTUD2;gene:ENSG00000108883:s:44883093-44883128
DCAF7;gene:ENSG00000136485:s:63583502-63583711
THOC3;gene:ENSG00000051596:s:175961273-175961324
BUD13;gene:ENSG00000137656:s:116758269-116758555
SPATA20;gene:ENSG00000006282:s:50548267-50548453
PTPMT1;gene:ENSG00000110536:s:47565430-47565796
CASP6;gene:ENSG00000138794:t:109690799-109691009
DDR1;gene:ENSG00000204580:s:30892296-30892542
DELE1;gene:ENSG00000081791:t:141934494-141934996
JAG1;gene:ENSG00000101384:s:10645356-10645469
FP565260.2;gene:ENSG00000276612:s:5118690-5118847
FUBP1;gene:ENSG00000162613:s:77966694-77966751
COG5;gene:ENSG00000164597:s:107211099-107211225
NSMCE2;gene:ENSG00000156831:s:125357218-125357319
RABGGTA;gene:ENSG00000100949:s:24266430-24266552
KIF23;gene:ENSG00000137807:s:69435652-69435782
UNC45A;gene:ENSG00000140553:s:90949300-90949443
MRPL49;gene:ENSG00000149792:s:65124725-65125612
FUCA2;gene:ENSG00000001036:t:143494811-143495847
RAE1;gene:ENSG00000101146:s:57373663-57373738
DNM1L;gene:ENSG00000087470:s:32730988-32731134
FAM207A;gene:ENSG00000160256:s:44940010-44940186
ASF1B;gene:ENSG00000105011:t:14126122-14126237
PFKM;gene:ENSG00000152556:t:48140722-48140917
APOLD1;gene:ENSG00000178878:t:12826000-12826070
RCC1;gene:ENSG00000180198:s:28536093-28536381
CCNG1;gene:ENSG00000113328:s:163442045-163442143
LRBA;gene:ENSG00000198589:s:150349992-150350159
LENG8;gene:ENSG00000167615:s:54457734-54457848
CCDC174;gene:ENSG00000154781:s:14667354-14667594
NCAPG;gene:ENSG00000109805:s:17837627-17837945
ETS2;gene:ENSG00000157557:s:38814241-38814396
RRM1;gene:ENSG00000167325:s:4126684-4126949
CUX1;gene:ENSG00000257923:s:102097364-102097501
AC073869.1;gene:ENSG00000152117:s:131516135-131516404
SLC20A1;gene:ENSG00000144136:s:112660387-112660572
RIOK1;gene:ENSG00000124784:s:7404705-7405184
ESYT1;gene:ENSG00000139641:s:56138384-56138499
HSPG2;gene:ENSG00000142798:t:21832495-21832606
FP565260.1;gene:ENSG00000275464:t:5135935-5136043
HSPG2;gene:ENSG00000142798:s:21831652-21831853
MLLT1;gene:ENSG00000130382:s:6216405-6216513
NOP58;gene:ENSG00000055044:t:202292777-202292924
DHCR24;gene:ENSG00000116133:s:54854037-54854234
NFS1;gene:ENSG00000244005:s:35673601-35673684
RNF40;gene:ENSG00000103549:t:30768103-30768531
CUL1;gene:ENSG00000055130:s:148797812-148797859
ARHGAP18;gene:ENSG00000146376:t:129607893-129608052
IRAK1;gene:ENSG00000184216:s:154018291-154018483
HPS3;gene:ENSG00000163755:t:149162690-149163085
DNAJB12;gene:ENSG00000148719:s:72343366-72343511
NUP205;gene:ENSG00000155561:s:135606751-135606915
SEC31A;gene:ENSG00000138674:s:82854903-82855029
RALBP1;gene:ENSG00000017797:s:9525720-9525851
SENP3-EIF4A1;gene:ENSG00000277957:s:7570292-7570503
CDCA3;gene:ENSG00000111665:s:6851222-6852066
SMARCD1;gene:ENSG00000066117:s:50084972-50085546
ELAC2;gene:ENSG00000006744:t:12995940-12995978
GRWD1;gene:ENSG00000105447:t:48452708-48457022
P2RX4;gene:ENSG00000135124:t:121232997-121233092
ANKRD54;gene:ENSG00000100124:s:37832958-37833109
ARHGAP4;gene:ENSG00000089820:s:153911129-153911232
AGK;gene:ENSG00000006530:s:141641811-141641908
PSMA3;gene:ENSG00000100567:s:58269665-58270485
TARS;gene:ENSG00000113407:s:33457257-33457403
LZTR1;gene:ENSG00000099949:s:20996689-20996801
GGA1;gene:ENSG00000100083:s:37620854-37620913
VPS35;gene:ENSG00000069329:s:46677315-46677686
ACP2;gene:ENSG00000134575:s:47248676-47248906
SUGP1;gene:ENSG00000105705:s:19279213-19279668
PPP6R2;gene:ENSG00000100239:t:50416092-50416210
NSUN6;gene:ENSG00000241058:s:18548108-18548247
RABEPK;gene:ENSG00000136933:s:125200542-125200600
SPIN1;gene:ENSG00000106723:s:88426382-88426591
INF2;gene:ENSG00000203485:s:104706910-104707051
SUPT5H;gene:ENSG00000196235:s:39458352-39458887
XRCC1;gene:ENSG00000073050:s:43575408-43576216
PACS1;gene:ENSG00000175115:t:66242912-66243031
RAE1;gene:ENSG00000101146:s:57366802-57366893
TYK2;gene:ENSG00000105397:t:10361305-10361598
RPL17-C18orf32;gene:ENSG00000215472:s:49492401-49492479
NSMCE4A;gene:ENSG00000107672:s:121959155-121959447
DNM1L;gene:ENSG00000087470:s:32740409-32740518
NUP88;gene:ENSG00000108559:s:5386954-5387081
RRP12;gene:ENSG00000052749:s:97366446-97366621
TTC5;gene:ENSG00000136319:t:20300337-20300818
PTPN3;gene:ENSG00000070159:s:109381652-109381787
LAMP2;gene:ENSG00000005893:s:120448968-120449128
MRPS14;gene:ENSG00000120333:s:175018404-175018576
PRRC2A;gene:ENSG00000204469:t:31636209-31636419
POLDIP2;gene:ENSG00000004142:s:28356910-28357522
HOOK2;gene:ENSG00000095066:s:12763528-12763625
CIAPIN1;gene:ENSG00000005194:s:57431151-57431310
ASL;gene:ENSG00000126522:t:66082880-66082939
CHMP2A;gene:ENSG00000130724:s:58552055-58552185
ATP5PF;gene:ENSG00000154723:s:25734989-25735033
DNAJA3;gene:ENSG00000103423:s:4443017-4443164
WWP2;gene:ENSG00000198373:t:69931152-69931227
TMEM214;gene:ENSG00000119777:s:27036661-27036786
SNRPF;gene:ENSG00000139343:s:95858928-95859076
CTPS1;gene:ENSG00000171793:s:41009445-41009589
SKIV2L;gene:ENSG00000204351:s:31960201-31960337
SBNO2;gene:ENSG00000064932:s:1123534-1123735
EIF2AK2;gene:ENSG00000055332:s:37138265-37138363
POLR2G;gene:ENSG00000168002:s:62765322-62765405
ESYT1;gene:ENSG00000139641:s:56133588-56133674
SMARCD1;gene:ENSG00000066117:t:50096659-50096972
STAT3;gene:ENSG00000168610:s:42324711-42324846
POLR3C;gene:ENSG00000186141:s:145824088-145824369
ZFR;gene:ENSG00000056097:s:32364164-32364938
MAD2L2;gene:ENSG00000116670:s:11680562-11680613
ACY1;gene:ENSG00000243989:t:51984845-51985271
NAGA;gene:ENSG00000198951:s:42067113-42067290
HYOU1;gene:ENSG00000149428:s:119048714-119048886
DAP;gene:ENSG00000112977:t:10748083-10748271
ALDH7A1;gene:ENSG00000164904:s:126550196-126550293
DTX3;gene:ENSG00000178498:s:57606188-57606252
MTHFD1L;gene:ENSG00000120254:s:150936804-150936940
PPP2R5E;gene:ENSG00000154001:t:63393820-63393928
LAMB2;gene:ENSG00000172037:s:49128661-49128819
AATF;gene:ENSG00000275700:t:36990774-36990857
LAMA5;gene:ENSG00000130702:s:62311888-62312146
PARP1;gene:ENSG00000143799:t:226401983-226402379
TBCD;gene:ENSG00000141556:s:82927905-82927988
SAP30BP;gene:ENSG00000161526:s:75703770-75703859
MORC2;gene:ENSG00000133422:s:30934504-30935161
KARS1;gene:ENSG00000065427:t:75629415-75629541
TOP2A;gene:ENSG00000131747:s:40411354-40411455
ZFAND6;gene:ENSG00000086666:s:80121712-80121820
SNURF;gene:ENSG00000273173:s:24975282-24975509
VRK1;gene:ENSG00000100749:t:96846095-96846164
EIF2AK1;gene:ENSG00000086232:s:6049784-6050045
TGDS;gene:ENSG00000088451:s:94577371-94577429
NUP188;gene:ENSG00000095319:s:128994373-128994678
NADSYN1;gene:ENSG00000172890:s:71472449-71472624
KHSRP;gene:ENSG00000088247:s:6421650-6421698
PTGES3L-AARSD1;gene:ENSG00000108825:s:42964106-42964237
CCDC22;gene:ENSG00000101997:t:49250148-49250526
SPNS1;gene:ENSG00000169682:s:28981898-28982056
COL5A2;gene:ENSG00000204262:s:189068226-189068270
CSNK2A2;gene:ENSG00000070770:t:58167207-58167308
MGAT4A;gene:ENSG00000071073:s:98636517-98636595
LRRC45;gene:ENSG00000169683:s:82028011-82028146
WDR5;gene:ENSG00000196363:s:134141949-134142038
SLC39A6;gene:ENSG00000141424:t:36116674-36116779
ATG2A;gene:ENSG00000110046:s:64897671-64897743
LACTB2;gene:ENSG00000147592:t:70644065-70644252
RPL30;gene:ENSG00000156482:s:98042645-98042784
CAPN2;gene:ENSG00000162909:s:223761414-223761739
PRKCI;gene:ENSG00000163558:s:170263379-170263429
PWP1;gene:ENSG00000136045:s:107703378-107703746
TNRC18;gene:ENSG00000182095:t:5332622-5333049
EHMT2;gene:ENSG00000204371:s:31886995-31887122
AL136295.5;gene:ENSG00000259529:s:24157290-24157404
DCUN1D5;gene:ENSG00000137692:t:103064275-103064377
SMG5;gene:ENSG00000198952:t:156252919-156253078
PSMD13;gene:ENSG00000185627:s:244031-244075
PELP1;gene:ENSG00000141456:s:4675079-4675195
FARSB;gene:ENSG00000116120:t:222631604-222631674
C11orf80;gene:ENSG00000173715:s:66821642-66821764
ADSS;gene:ENSG00000035687:s:244411287-244411436
ALDH18A1;gene:ENSG00000059573:s:95613966-95614161
TTC37;gene:ENSG00000198677:t:95478290-95478442
U2SURP;gene:ENSG00000163714:s:143022853-143023395
SMARCA4;gene:ENSG00000127616:s:11020581-11021967
AP2B1;gene:ENSG00000006125:t:35710234-35710320
SLC35F5;gene:ENSG00000115084:s:113735777-113736183
CDR2;gene:ENSG00000140743:s:22349156-22349469
TRPM4;gene:ENSG00000130529:s:49200611-49200785
ANKIB1;gene:ENSG00000001629:s:92387975-92388041
PARN;gene:ENSG00000140694:s:14586318-14586361
EFTUD2;gene:ENSG00000108883:s:44854556-44854682
PARD3;gene:ENSG00000148498:s:34359147-34359317
ANKS3;gene:ENSG00000168096:s:4697977-4698062
ARHGAP12;gene:ENSG00000165322:t:31805404-31807832
ARHGEF9;gene:ENSG00000131089:s:63655494-63655737
HMGXB3;gene:ENSG00000113716:s:150041785-150041969
KAT5;gene:ENSG00000172977:s:65713744-65713848
TMEM43;gene:ENSG00000170876:t:14129412-14129561
RUSC2;gene:ENSG00000198853:s:35558197-35558371
SYAP1;gene:ENSG00000169895:s:16756663-16756721
VPS72;gene:ENSG00000163159:s:151185506-151185644
GET4;gene:ENSG00000239857:s:893615-893815
PSME3;gene:ENSG00000131467:s:42838945-42839012
RNF220;gene:ENSG00000187147:s:44648308-44649769
HIP1R;gene:ENSG00000130787:s:122858761-122859016
SMYD5;gene:ENSG00000135632:s:73224617-73224960
KANSL3;gene:ENSG00000114982:s:96612817-96612934
GNS;gene:ENSG00000135677:s:64740606-64740724
ERLEC1;gene:ENSG00000068912:t:53814543-53814620
MRPL16;gene:ENSG00000166902:s:59807236-59807849
DDX47;gene:ENSG00000213782:s:12822661-12822732
THOC2;gene:ENSG00000125676:s:123623105-123623328
SBF1;gene:ENSG00000100241:s:50455016-50455142
ILF3;gene:ENSG00000129351:s:10670499-10670608
ACTR5;gene:ENSG00000101442:t:38765402-38765518
NOSIP;gene:ENSG00000142546:s:49556316-49556452
TMEM87A;gene:ENSG00000103978:t:42261196-42261249
SF3B3;gene:ENSG00000189091:s:70565368-70565720
ARL8B;gene:ENSG00000134108:s:5172150-5172223
PXDN;gene:ENSG00000130508:s:1663605-1663857
PARVA;gene:ENSG00000197702:t:12518445-12518517
ZER1;gene:ENSG00000160445:t:128739888-128740119
COL3A1;gene:ENSG00000168542:t:188990096-188990149
DHX38;gene:ENSG00000140829:s:72109415-72109756
EIF2AK4;gene:ENSG00000128829:s:39990273-39990377
CBX1;gene:ENSG00000108468:s:48076865-48077041
NCSTN;gene:ENSG00000162736:s:160344722-160345171
EXOC5;gene:ENSG00000070367:s:57237338-57237506
FLII;gene:ENSG00000177731:s:18248550-18248759
PARP1;gene:ENSG00000143799:t:226382961-226383183
PHF14;gene:ENSG00000106443:s:11042680-11042814
TADA2A;gene:ENSG00000276234:s:37442564-37442652
TRIP4;gene:ENSG00000103671:s:64395398-64395531
TOMM34;gene:ENSG00000025772:s:44943413-44943592
TNIP1;gene:ENSG00000145901:s:151060318-151060395
AC068205.2;gene:ENSG00000283341:t:43815437-43815505
GPBP1;gene:ENSG00000062194:t:57235966-57236032
MYCBP;gene:ENSG00000214114:s:38873291-38874105
SNRNP200;gene:ENSG00000144028:s:96300998-96301053
PRRC2C;gene:ENSG00000117523:s:171532343-171533009
GGA2;gene:ENSG00000103365:s:23469996-23470499
INPP5K;gene:ENSG00000132376:s:1509683-1509799
ELP4;gene:ENSG00000109911:s:31603765-31603907
HDGFL2;gene:ENSG00000167674:s:4493982-4494057
TRUB2;gene:ENSG00000167112:t:128321599-128321730
ILF3;gene:ENSG00000129351:s:10683366-10683542
TRIP12;gene:ENSG00000153827:s:229788798-229788949
SAR1B;gene:ENSG00000152700:t:134608372-134608503
AC093616.1;gene:ENSG00000234231:s:87725937-87726208
DNAAF5;gene:ENSG00000164818:s:761753-761896
PES1;gene:ENSG00000100029:s:30581528-30581644
MBD1;gene:ENSG00000141644:s:50276832-50276998
DTL;gene:ENSG00000143476:s:212100646-212101084
ACP2;gene:ENSG00000134575:t:47248038-47248133
FUZ;gene:ENSG00000010361:s:49809163-49809258
URB1;gene:ENSG00000142207:s:32317676-32317917
ATP6V0A1;gene:ENSG00000033627:t:42483038-42483219
SHARPIN;gene:ENSG00000179526:s:144099929-144100069
TNS2;gene:ENSG00000111077:s:53060259-53060555
MARK3;gene:ENSG00000075413:s:103465714-103465898
UBTF;gene:ENSG00000108312:s:44210318-44210473
SIL1;gene:ENSG00000120725:s:139026801-139026992
VPS52;gene:ENSG00000223501:s:33268499-33268649
