	query acc	query length	subject acc	subject length	bit score	score	alignment length	% identity	subject tax id
0	LINC01509	408	NR_121581	960	754.0	408	408	100.0	9606
1	LINC01509	408	XR_001720949	1309	246.0	133	139	98.561	9598
2	AC010525.1	441	AC010525	36806	815.0	441	441	100.0	9606
3	AC010525.1	441	AC191234	225819	169.0	91	125	91.2	9598
4	AL158151.1	2047	AK123797	2084	3760.0	2036	2049	99.805	9606
5	AL158151.1	2047	AC188682	244847	2907.0	1574	1696	97.759	9598
6	AL158151.1	2047	NM_001206835	1595	608.0	329	369	96.477	9913
7	AL158151.1	2047	BC003464	1571	577.0	312	368	95.109	10090
8	LINC00485	3722	NR_033855	3719	6868.0	3719	3719	100.0	9606
9	LINC00485	3722	AC192465	185879	368.0	199	309	88.35	9598
10	AL358473.1	3496	BC037533	3510	6416.0	3474	3496	99.8	9606
11	AL358473.1	3496	XR_001711668	1985	1254.0	679	703	98.862	9598
12	AC011095.1	2794	NR_040034	2809	5160.0	2794	2794	100.0	9606
13	AC011095.1	2794	AC195518	217825	150.0	81	107	92.523	9598
14	AL022322.2	20397	NG_007094	110284	37667.0	20397	20397	100.0	9606
15	AL022322.2	20397	AC191404	183042	25355.0	13730	14449	98.394	9598
16	AC068512.1	1811	NR_135634	1809	3341.0	1809	1809	100.0	9606
17	AC068512.1	1811	XR_675439	1843	3184.0	1724	1811	98.454	9598
18	AC011899.3	617	NG_029966	1055733	1140.0	617	617	100.0	9606
19	AC112719.2	1685	NR_125906	1705	3112.0	1685	1685	100.0	9606
20	AC112719.2	1685	XR_001716917	2531	2979.0	1613	1685	98.576	9598
21	AC011773.3	790	AC011773	160283	641.0	347	347	100.0	9606
22	AC011773.3	790	XM_016959625	1624	553.0	299	323	97.523	9598
23	AL158154.2	2208	AK097447	2205	4052.0	2194	2208	99.819	9606
24	AL158154.2	2208	XM_016961014	7185	1609.0	871	943	97.455	9598
25	AL358074.1	2206	AL358074	109081	4074.0	2206	2206	100.0	9606
26	AL358074.1	2206	AC188680	209656	388.0	210	299	90.301	9598
27	AL358074.1	2206	AL808102	178743	370.0	200	352	86.08	10090
28	AP000317.2	641	XR_001712479	2071	614.0	332	345	98.841	9598
29	AP000317.2	641	AK312084	501	544.0	294	294	100.0	9606
30	AC008738.6	569	CP068259	61707359	569.0	308	308	100.0	9606
31	AC008738.6	569	AC146069	202451	309.0	167	266	87.97	9598
32	LINC02176	598	XR_933832	792	765.0	414	414	100.0	9606
33	LINC02176	598	AC280511	221339	320.0	173	222	92.793	9598
34	AP003306.2	485	AP003306	173348	566.0	306	306	100.0	9606
35	AP003306.2	485	AC136968	172660	390.0	211	278	92.086	9598
36	AC135012.1	7430	AC135012	157630	13418.0	7266	7266	100.0	9606
37	AC135012.1	7430	AC147710	200403	473.0	256	339	92.035	9598
38	AC055717.1	1986	BC042080	2025	3651.0	1977	1986	99.849	9606
39	AC055717.1	1986	AC146389	141930	324.0	175	300	86.333	9598
40	LINC01105	3329	AC073479	196671	3567.0	1931	1931	100.0	9606
41	LINC01105	3329	XM_009441952	18128	3356.0	1817	1935	98.036	9598
42	LINC01105	3329	AC155270	215502	285.0	154	529	77.505	10090
43	AC007686.3	3487	AC007686	181386	6440.0	3487	3487	100.0	9606
44	AC007686.3	3487	AC193260	182740	6296.0	3409	3487	99.283	9598
45	AC007686.3	3487	AC153147	206281	809.0	438	747	86.881	10090
46	AC007686.3	3487	XR_236242	2766	774.0	419	1085	81.29	9913
47	AP000755.1	507	AP000755	152306	811.0	439	439	100.0	9606
48	AP000755.1	507	CT737396	227066	154.0	83	108	92.593	9598
49	GTF3C2-AS1	863	NR_038427	841	1554.0	841	841	100.0	9606
50	GTF3C2-AS1	863	XR_001715666	1006	1520.0	823	841	99.287	9598
51	GTF3C2-AS1	863	AC114619	204468	217.0	117	150	92.667	10090
52	GTF3C2-AS1	863	XM_015473564	4123	195.0	105	138	92.029	9913
53	GK-IT1	397	AC238545	36311	484.0	262	265	99.623	9606
54	GK-IT1	397	AC192976	186493	468.0	253	265	98.491	9598
55	AC007952.8	440	CP068261	84277185	315.0	170	170	100.0	9606
56	AC007952.8	440	XM_024350422	462	292.0	158	164	98.78	9598
57	LINC00525	1188	NR_038407	1204	2194.0	1188	1188	100.0	9606
58	LINC00525	1188	AC217243	173233	1646.0	891	949	98.103	9598
