	query acc	query length	subject acc	subject length	bit score	score	alignment length	% identity	subject tax id
0	AP000696.1	1133	XR_001755027	2004	1648.0	892	892	100.0	9606
1	AP000696.1	1133	BS000115	150496	1531.0	829	892	97.646	9598
2	LINC01022	394	NR_132379	1207	728.0	394	394	100.0	9606
3	AC022447.6	438	NG_033962	478523	809.0	438	438	100.0	9606
4	AC022447.6	438	AC135292	206967	182.0	98	241	80.913	10090
5	AC103808.5	462	XR_002958200	1324	854.0	462	462	100.0	9606
6	AC103808.5	462	XR_001711430	2562	832.0	450	462	99.134	9598
7	LINC02243	961	NR_134925	982	1775.0	961	961	100.0	9606
8	LINC02243	961	AC193015	179781	944.0	511	520	99.423	9598
9	AL445193.2	620	XR_001706849	914	798.0	432	453	98.455	9598
10	AL445193.2	620	NG_046914	1262770	492.0	266	266	100.0	9606
11	AC027288.1	816	AC027288	177080	907.0	491	491	100.0	9606
12	AC027288.1	816	XR_001708751	3127	433.0	234	324	90.741	9598
13	AC090572.3	804	MF045864	98770	832.0	450	453	99.779	9606
14	AP000233.1	291	CP068257	45827691	204.0	110	110	100.0	9606
15	AP000233.1	291	BS000101	191901	204.0	110	110	100.0	9598
16	AC087565.2	952	NG_013211	1116047	917.0	496	496	100.0	9606
17	AC087565.2	952	AC124200	215638	97.1	52	118	82.203	10090
18	AC020922.3	547	CP068259	61707359	1011.0	547	547	100.0	9606
19	AC020922.3	547	XM_001135374	1301	276.0	149	152	99.342	9598
20	AC023669.2	239	AC092657	71202	355.0	192	192	100.0	9606
21	AC023669.2	239	AC187634	151814	350.0	189	192	99.479	9598
22	PACRG-AS2	1300	NR_110871	1300	2401.0	1300	1300	100.0	9606
23	PACRG-AS2	1300	XR_681129	711	313.0	169	190	96.316	9598
24	AC027328.1	335	XR_925770	797	619.0	335	335	100.0	9606
25	AC027328.1	335	XR_001717463	523	302.0	163	166	99.398	9598
26	AC116612.1	562	NG_013062	32742	713.0	386	386	100.0	9606
27	AC010745.2	1710	AC010745	189894	1380.0	747	747	100.0	9606
28	AC010745.2	1710	AC193898	180571	1330.0	720	747	98.795	9598
29	AC010745.2	1710	AC150675	172241	396.0	214	524	80.916	9913
30	LINC02399	400	NR_135019	413	739.0	400	400	100.0	9606
31	LINC02399	400	XR_001708159	811	723.0	391	400	99.25	9598
32	LINC02424	1264	NR_135021	1280	2335.0	1264	1264	100.0	9606
33	LINC02424	1264	XR_128505	1265	2281.0	1235	1260	99.365	9598
34	AC007422.2	167	AC010987	193319	235.0	127	127	100.0	9606
35	AC007422.2	167	XR_001714562	1742	80.5	43	43	100.0	9598
36	AC087242.1	572	NM_001246575	1891	1000.0	541	569	98.418	9598
37	AC087242.1	572	NG_052826	99531	676.0	366	366	100.0	9606
38	AP001116.1	762	CP068257	45827691	346.0	187	191	99.476	9606
39	AP001116.1	762	BS000085	171357	324.0	175	191	97.382	9598
40	LINC01072	431	NR_126380	431	797.0	431	431	100.0	9606
41	AC107909.2	493	NG_007098	871315	667.0	361	361	100.0	9606
42	CR392039.3	227	CP068257	45827691	230.0	124	124	100.0	9606
43	CR392039.3	227	AC185968	226372	196.0	106	124	95.161	9598
44	AL133351.1	417	AK123663	2804	540.0	292	292	100.0	9606
45	AL133351.1	417	XR_001718206	477	342.0	185	319	87.461	9598
46	AL024474.2	501	NG_042293	568298	737.0	399	399	100.0	9606
47	AL024474.2	501	AC147215	179309	82.4	44	53	94.34	9598
