	query acc	query length	subject acc	subject length	bit score	score	alignment length	% identity	subject tax id
0	LINC02367	4388	NR_120479	4388	8104.0	4388	4388	100.0	9606
1	LINC02367	4388	XR_001707837	3045	424.0	229	232	99.569	9598
2	AC015802.1	1449	AC015802	205753	2676.0	1449	1449	100.0	9606
3	AC015802.1	1449	NM_001193664	1125	204.0	110	110	100.0	9598
4	AC009646.2	826	AC009646	183519	859.0	465	465	100.0	9606
5	AC009646.2	826	BS000057	185342	281.0	152	158	98.734	9598
6	SFTPD-AS1	5001	AL512662	134411	9236.0	5001	5001	100.0	9606
7	SFTPD-AS1	5001	AC188684	215235	905.0	490	2256	74.867	9598
8	LINC00535	1914	NR_033858	1924	3535.0	1914	1914	100.0	9606
9	LINC00535	1914	AL732473	183937	322.0	174	444	80.405	10090
10	LINC00535	1914	AC146346	165445	102.0	55	122	81.967	9598
11	FLG-AS1	2995	NR_103778	4112	5531.0	2995	2995	100.0	9606
12	FLG-AS1	2995	XR_002939134	2483	3821.0	2069	2141	98.972	9598
13	AL136526.1	2203	AL136526	179804	4069.0	2203	2203	100.0	9606
14	AL136526.1	2203	AC215926	162271	217.0	117	479	75.574	9598
15	AL136526.1	2203	AC123751	159523	143.0	77	156	83.333	10090
16	LINC00506	4300	NR_047469	4300	7941.0	4300	4300	100.0	9606
17	LINC00506	4300	AC275802	188585	5457.0	2955	3669	93.568	9598
18	AL008582.1	442	AL008582	98758	817.0	442	442	100.0	9606
19	AL008582.1	442	AC192851	136866	800.0	433	442	99.321	9598
20	AC105254.1	621	XR_001741805	3369	660.0	357	357	100.0	9606
21	AC105254.1	621	XM_009448213	9447	255.0	138	152	97.368	9598
22	DACT3-AS1	1304	NR_040041	1320	2409.0	1304	1304	100.0	9606
23	DACT3-AS1	1304	XR_001711860	261	243.0	131	143	97.203	9598
24	AL136099.1	557	AL136099	157245	776.0	420	420	100.0	9606
25	AL136099.1	557	AC192007	217397	54.7	29	35	94.286	9598
26	AC114956.1	512	AC114310	157366	398.0	215	215	100.0	9606
